Player1,Player2,Player3,Player4,Barycenter
"[7323.0400390625, 3076.07470703125]","[8145.99169921875, 3383.286376953125]","[8258.4736328125, 2889.615234375]","[nan, nan]","[7909.16796875, 3116.325439453125]"
"[2884.456298828125, 3691.839599609375]","[nan, nan]","[nan, nan]","[nan, nan]","[2884.456298828125, 3691.839599609375]"
"[5408.15087890625, 1648.560302734375]","[5698.736328125, 1197.5052490234375]","[5025.1025390625, 2617.897705078125]","[6121.05810546875, 3325.60791015625]","[5563.26171875, 2197.392578125]"
"[6780.4091796875, 3211.326171875]","[7402.7685546875, 4823.65380859375]","[6233.6591796875, 2059.780517578125]","[7226.51318359375, 962.6138916015625]","[6886.99365234375, 2321.660888671875]"
"[5501.69140625, 1265.6314697265625]","[5637.32421875, 3648.871337890625]","[4822.31640625, 3954.12548828125]","[4779.07421875, 2045.3448486328125]","[5118.08935546875, 1836.9871826171875]"
"[7203.41650390625, 6367.99267578125]","[7941.25439453125, 6770.23779296875]","[6835.9541015625, 5688.7314453125]","[6929.3564453125, 5811.8681640625]","[7429.80712890625, 5517.09033203125]"
"[6910.11376953125, 4081.7470703125]","[6489.09912109375, 2907.031005859375]","[5883.54345703125, 1292.7476806640625]","[nan, nan]","[6427.58544921875, 2760.5087890625]"
"[5493.556640625, 988.2650146484375]","[5177.35888671875, 1666.800048828125]","[4770.65576171875, 434.59796142578125]","[5696.5419921875, 2434.88818359375]","[5284.5283203125, 1381.1376953125]"
"[5224.5966796875, 5243.83935546875]","[5004.671875, 2721.7275390625]","[4007.960693359375, 2841.14208984375]","[4371.998046875, 3137.77587890625]","[4517.4912109375, 3073.306396484375]"
"[7506.2470703125, 5447.1123046875]","[6792.1357421875, 4196.78564453125]","[6709.66796875, 3988.741455078125]","[7023.76123046875, 2646.9267578125]","[7071.07080078125, 3804.541748046875]"
"[9630.2880859375, 4814.0888671875]","[8990.40234375, 4062.63720703125]","[nan, nan]","[nan, nan]","[9310.345703125, 4438.36328125]"
"[5549.62109375, 7031.6083984375]","[6358.7802734375, 5499.95166015625]","[4808.49169921875, 4266.8876953125]","[6159.32763671875, 4250.4189453125]","[5772.21875, 4269.8486328125]"
"[6655.19775390625, 7153.99609375]","[6637.70166015625, 4243.3173828125]","[6210.099609375, 5832.1787109375]","[7117.611328125, 2470.5986328125]","[6885.97607421875, 4256.16064453125]"
"[6870.7412109375, 2663.650634765625]","[6274.08056640625, 110.85127258300781]","[6384.26171875, 896.3831787109375]","[7463.87451171875, 4802.24267578125]","[6715.3974609375, 1872.177001953125]"
"[9179.8623046875, 4831.18310546875]","[8254.462890625, 4317.7314453125]","[8697.1025390625, 1562.36474609375]","[8823.4296875, 3135.9443359375]","[8731.173828125, 2993.711669921875]"
"[5935.380859375, 3032.969970703125]","[nan, nan]","[nan, nan]","[nan, nan]","[5935.380859375, 3032.969970703125]"
"[4308.27197265625, 2571.36669921875]","[4349.0087890625, 4732.72265625]","[3409.805419921875, 3301.177490234375]","[nan, nan]","[4022.3623046875, 3535.0888671875]"
"[7018.8271484375, 5667.71923828125]","[6512.03564453125, 4003.59375]","[7258.19677734375, 3436.25830078125]","[nan, nan]","[6929.68701171875, 4369.18994140625]"
"[7319.1865234375, 7098.98583984375]","[7374.65625, 6379.07470703125]","[6786.62353515625, 3304.73974609375]","[6364.62158203125, 3013.352783203125]","[6811.28173828125, 3938.895263671875]"
"[8900.7890625, 3440.064208984375]","[9156.283203125, 1408.4605712890625]","[10035.1708984375, 710.3283081054688]","[8685.5166015625, 417.2548522949219]","[9240.5302734375, 1527.303955078125]"
"[10338.5400390625, 6515.0595703125]","[9937.58984375, 5250.62548828125]","[10215.4560546875, 4373.1435546875]","[10156.3203125, 3117.01318359375]","[10244.27734375, 3711.486328125]"
"[9861.076171875, 5695.318359375]","[9440.84375, 725.724609375]","[8868.6611328125, 1223.88818359375]","[8954.2626953125, 1341.6544189453125]","[9258.6806640625, 2106.790771484375]"
"[5619.00439453125, 6039.07568359375]","[5882.08154296875, 2638.2265625]","[6713.04638671875, 3439.91650390625]","[5464.5107421875, 761.8532104492188]","[6050.265625, 2568.724609375]"
"[8155.896484375, 5543.92626953125]","[7553.744140625, 6224.3203125]","[7661.20751953125, 6546.86767578125]","[8497.42578125, 6146.1572265625]","[8002.4013671875, 5078.57080078125]"
"[8021.8759765625, 5740.42041015625]","[8236.796875, 6496.361328125]","[9217.6767578125, 6164.51708984375]","[8909.29296875, 5768.0634765625]","[8531.8505859375, 5191.87255859375]"
