Player1,Player2,Player3,Player4,Barycenter
"[3907.426025390625, 5350.80712890625]","[3599.43701171875, 3905.346923828125]","[3761.42529296875, 2805.99951171875]","[3819.018798828125, 1636.9649658203125]","[4099.203125, 3270.091796875]"
"[560.8892822265625, 4579.98974609375]","[1065.939208984375, 3845.318359375]","[881.2871704101562, 3734.73388671875]","[476.5987854003906, 3121.625]","[731.5215454101562, 3457.331298828125]"
"[3259.304443359375, 4503.216796875]","[3336.44384765625, 3606.392822265625]","[3565.570068359375, 2283.110595703125]","[2700.26318359375, 1267.156982421875]","[3168.8798828125, 1853.2503662109375]"
"[4753.2744140625, 6454.18115234375]","[4711.35888671875, 3042.517578125]","[4853.4931640625, 4121.28564453125]","[4840.35791015625, 4398.71875]","[4592.35400390625, 2891.970458984375]"
"[2812.67431640625, 1472.7906494140625]","[3360.285400390625, 3170.8974609375]","[2806.1259765625, 2332.432373046875]","[3088.893798828125, 653.353271484375]","[3193.087158203125, 1514.1746826171875]"
"[4201.38671875, 6485.302734375]","[4597.9169921875, 6894.259765625]","[3199.62841796875, 5149.8837890625]","[4066.693603515625, 5917.37646484375]","[4104.3203125, 5031.0576171875]"
"[3207.14453125, 3854.884521484375]","[3249.300537109375, 3571.41796875]","[3485.544189453125, 2520.044677734375]","[3885.66455078125, 558.1038208007812]","[3458.8974609375, 1707.26806640625]"
"[3252.905517578125, 3388.69970703125]","[2313.027587890625, 3618.119873046875]","[2177.610595703125, 2890.677978515625]","[3227.786376953125, 1955.3408203125]","[2802.57177734375, 2029.616455078125]"
"[1547.215087890625, 5457.7080078125]","[1440.50830078125, 5818.77880859375]","[1228.494140625, 5835.0009765625]","[1261.3326416015625, 5763.07861328125]","[1302.94140625, 5758.50537109375]"
"[4833.3076171875, 3233.174560546875]","[3717.95263671875, 3620.84130859375]","[3846.32275390625, 2806.419921875]","[4220.76806640625, 1616.3740234375]","[4322.0986328125, 2756.03271484375]"
"[5721.232421875, 3902.816162109375]","[5641.8818359375, 4382.01318359375]","[6208.58251953125, 3813.853515625]","[5800.97509765625, 5156.72021484375]","[5978.18798828125, 3624.88623046875]"
"[1643.5361328125, 5002.23388671875]","[2001.304443359375, 2200.239013671875]","[nan, nan]","[nan, nan]","[1822.4202880859375, 3601.236328125]"
"[4366.65625, 6023.8046875]","[3210.1201171875, 4184.78662109375]","[3995.3447265625, 2004.388427734375]","[nan, nan]","[3857.373779296875, 4070.993408203125]"
"[3511.109130859375, 2985.550537109375]","[3230.833984375, 839.2315673828125]","[3670.870361328125, 1457.9893798828125]","[3769.513916015625, -1206.1163330078125]","[3545.581787109375, 1019.163818359375]"
"[5114.236328125, 3918.474853515625]","[5137.6142578125, 1678.2098388671875]","[5983.8037109375, 2907.479248046875]","[nan, nan]","[5411.884765625, 2834.721435546875]"
"[2828.27294921875, 4368.52587890625]","[2438.92919921875, 3900.09765625]","[2074.28173828125, 2896.05224609375]","[2961.961669921875, 3708.838623046875]","[2601.82470703125, 2533.33984375]"
"[324.61529541015625, 5550.607421875]","[288.2415771484375, 5640.87841796875]","[415.493408203125, 5358.52294921875]","[323.6944274902344, 5599.7158203125]","[335.43817138671875, 5501.5400390625]"
"[4219.91259765625, 4345.58642578125]","[3617.345947265625, 4499.419921875]","[3677.97900390625, 3614.490234375]","[3961.67822265625, 2788.43701171875]","[4121.17431640625, 3723.793701171875]"
"[3339.003173828125, 5799.6171875]","[3657.2998046875, 5670.0380859375]","[2253.39306640625, 4536.6435546875]","[4005.9921875, 4371.0712890625]","[3223.998291015625, 4473.21044921875]"
"[6448.0888671875, 5022.78759765625]","[5482.615234375, 2217.59716796875]","[5474.57421875, 1385.2991943359375]","[5765.40380859375, 1584.5045166015625]","[6095.81005859375, 1751.885009765625]"
"[6983.87451171875, 4880.666015625]","[7134.404296875, 2859.48046875]","[nan, nan]","[nan, nan]","[7059.1396484375, 3870.0732421875]"
"[6378.6962890625, 2238.702392578125]","[6248.0068359375, 566.2200927734375]","[nan, nan]","[nan, nan]","[6313.3515625, 1402.461181640625]"
"[3646.981201171875, 5533.869140625]","[4099.46142578125, 6823.61376953125]","[3801.376220703125, 1954.2547607421875]","[3627.292236328125, 3467.01953125]","[3793.777587890625, 4444.689453125]"
"[4796.01220703125, 5709.142578125]","[4355.01025390625, 5975.24365234375]","[4428.43505859375, 3769.311279296875]","[nan, nan]","[4526.48583984375, 5151.23291015625]"
"[4303.83203125, 5927.82666015625]","[4432.873046875, 5950.08642578125]","[4506.56640625, 4493.22998046875]","[5252.203125, 2929.9296875]","[4623.86865234375, 4825.26806640625]"
