Player1,Player2,Player3,Player4,Barycenter
"[6210.70068359375, 6534.1474609375]","[6090.1533203125, 4234.16259765625]","[6049.87060546875, 3164.566162109375]","[5141.44384765625, 3916.378173828125]","[6025.193359375, 3701.596435546875]"
"[1897.810791015625, 3790.861083984375]","[2110.797119140625, 4367.9375]","[1940.7220458984375, 4060.625732421875]","[1852.0341796875, 2355.693359375]","[1950.341064453125, 3643.779541015625]"
"[4820.46484375, 5583.224609375]","[4424.7431640625, 3746.080078125]","[3878.630126953125, 4757.85400390625]","[3939.5869140625, 4283.220703125]","[4295.95556640625, 3964.637939453125]"
"[5767.412109375, 4530.49072265625]","[5497.48046875, 955.6083374023438]","[5234.6904296875, 2649.04052734375]","[5243.5615234375, 2310.194091796875]","[5435.7861328125, 2611.33349609375]"
"[4243.62939453125, 2808.435546875]","[4143.72412109375, 1754.0294189453125]","[3960.033935546875, 1133.173095703125]","[nan, nan]","[4115.7958984375, 1898.5458984375]"
"[5705.7001953125, 6013.8125]","[5398.443359375, 5512.70458984375]","[6400.29248046875, 4732.9013671875]","[5322.01513671875, 1463.1746826171875]","[5809.32958984375, 4211.15234375]"
"[4271.8974609375, 4943.72509765625]","[4552.78955078125, 3498.719482421875]","[4965.82763671875, 2938.859130859375]","[4211.81982421875, 2626.93359375]","[4765.5634765625, 2037.1920166015625]"
"[3867.371826171875, 4717.85205078125]","[4196.013671875, 2883.697509765625]","[4025.984375, 1802.5177001953125]","[4351.9453125, 1405.350830078125]","[4040.832275390625, 2085.143310546875]"
"[2874.421630859375, 2885.174072265625]","[2810.189697265625, 2392.12060546875]","[3180.0947265625, 2265.50634765625]","[nan, nan]","[2954.902099609375, 2514.26708984375]"
"[5614.09912109375, 4373.79638671875]","[5385.74658203125, 4050.713134765625]","[5192.658203125, 4553.6953125]","[6115.7646484375, 6687.24169921875]","[5826.23974609375, 3929.69189453125]"
"[7453.04345703125, 6234.69873046875]","[6944.146484375, 5248.98681640625]","[6953.0625, 4812.7265625]","[7010.54345703125, 2615.74853515625]","[7314.14306640625, 3643.708251953125]"
"[3197.43359375, 5883.2890625]","[3960.28125, 5633.06201171875]","[2840.337890625, 6425.419921875]","[3529.921630859375, 3747.94970703125]","[3502.181640625, 4126.2734375]"
"[4743.44384765625, 4631.71826171875]","[5623.7939453125, 4938.03271484375]","[5228.00732421875, 4548.99365234375]","[5952.11376953125, 5906.9638671875]","[5406.04150390625, 3880.423095703125]"
"[4945.62060546875, 3161.015625]","[5329.51611328125, 2723.0009765625]","[4530.10986328125, 596.876953125]","[5318.25390625, 3636.537109375]","[5296.326171875, 1017.380615234375]"
"[7259.60693359375, 5199.015625]","[6641.54931640625, 3302.83642578125]","[6781.29541015625, 1933.271728515625]","[6943.7333984375, 2329.4833984375]","[7077.60986328125, 2582.23291015625]"
"[4204.775390625, 5319.123046875]","[3853.08349609375, 2884.78955078125]","[4692.04736328125, 2752.145263671875]","[3953.983642578125, 1507.07861328125]","[4245.48876953125, 2629.904541015625]"
"[1988.802978515625, 3644.078369140625]","[3086.557861328125, 1911.4239501953125]","[2288.8623046875, 2599.44921875]","[2743.305908203125, 2254.81494140625]","[2381.100830078125, 2789.62744140625]"
"[5741.84716796875, 5086.89453125]","[5570.115234375, 4039.770263671875]","[6069.32177734375, 6378.37744140625]","[5900.56005859375, 3287.60498046875]","[5684.81396484375, 4183.51708984375]"
"[5533.42431640625, 5989.30126953125]","[5763.71484375, 5176.15673828125]","[5605.6201171875, 3377.754638671875]","[4986.55126953125, 2415.281982421875]","[5176.32275390625, 3750.16015625]"
"[7391.74462890625, 5327.373046875]","[7711.09130859375, 2938.53076171875]","[7643.44970703125, 1356.8565673828125]","[7063.0546875, 1299.9017333984375]","[7452.3349609375, 2730.66552734375]"
"[8863.0107421875, 6495.42529296875]","[8366.71875, 5007.4853515625]","[9427.8349609375, 5517.9912109375]","[9384.6416015625, 6049.2041015625]","[9028.1201171875, 5216.4169921875]"
"[7755.5546875, 3705.232421875]","[7306.6240234375, 1130.0125732421875]","[8359.0126953125, 1938.9129638671875]","[7512.02783203125, 1902.174560546875]","[7888.7861328125, 1339.865478515625]"
"[4940.14501953125, 3511.329833984375]","[4859.9580078125, 4499.94677734375]","[4576.7021484375, 3595.94189453125]","[5184.134765625, 1337.9798583984375]","[4789.54296875, 2072.554931640625]"
"[6197.30078125, 6855.1826171875]","[6519.6318359375, 6594.4951171875]","[6817.470703125, 5489.43212890625]","[6182.6162109375, 5745.4326171875]","[6367.93798828125, 5276.43212890625]"
"[6602.509765625, 5571.36328125]","[7269.8916015625, 6648.6455078125]","[7593.1337890625, 5252.25927734375]","[7032.572265625, 4698.60498046875]","[6881.26318359375, 5067.296875]"
