Player1,Player2,Player3,Player4,Barycenter
"[6210.70068359375, 6534.1474609375]","[6090.1533203125, 4234.16259765625]","[6049.87060546875, 3164.566162109375]","[5141.44384765625, 3916.378173828125]","[6025.193359375, 3701.596435546875]"
"[1897.810791015625, 3790.861083984375]","[2110.797119140625, 4367.9375]","[1940.7220458984375, 4060.625732421875]","[1852.0341796875, 2355.693359375]","[1950.341064453125, 3643.779541015625]"
"[4820.46484375, 5583.224609375]","[4424.7431640625, 3746.080078125]","[3878.630126953125, 4757.85400390625]","[3939.5869140625, 4283.220703125]","[4295.95556640625, 3964.637939453125]"
"[5767.412109375, 4530.49072265625]","[5497.48046875, 955.6083374023438]","[5234.6904296875, 2649.04052734375]","[5243.5615234375, 2310.194091796875]","[5435.7861328125, 2611.33349609375]"
"[4243.62939453125, 2808.435546875]","[4143.72412109375, 1754.0294189453125]","[3960.033935546875, 1133.173095703125]","[nan, nan]","[4115.7958984375, 1898.5458984375]"
"[5705.7001953125, 6013.8125]","[5398.443359375, 5512.70458984375]","[6400.29248046875, 4732.9013671875]","[5322.01513671875, 1463.1746826171875]","[5809.32958984375, 4211.15234375]"
"[4271.8974609375, 4943.72509765625]","[4552.78955078125, 3498.719482421875]","[4965.82763671875, 2938.859130859375]","[4211.81982421875, 2626.93359375]","[4765.5634765625, 2037.1920166015625]"
"[3867.371826171875, 4717.85205078125]","[4196.013671875, 2883.697509765625]","[4025.984375, 1802.5177001953125]","[4351.9453125, 1405.350830078125]","[4040.832275390625, 2085.143310546875]"
"[2874.421630859375, 2885.174072265625]","[2810.189697265625, 2392.12060546875]","[3180.0947265625, 2265.50634765625]","[nan, nan]","[2954.902099609375, 2514.26708984375]"
"[5614.09912109375, 4373.79638671875]","[5385.74658203125, 4050.713134765625]","[5192.658203125, 4553.6953125]","[6115.7646484375, 6687.24169921875]","[5826.23974609375, 3929.69189453125]"
"[7453.04345703125, 6234.69873046875]","[6944.146484375, 5248.98681640625]","[6953.0625, 4812.7265625]","[7010.54345703125, 2615.74853515625]","[7314.14306640625, 3643.708251953125]"
"[6094.01318359375, 5274.556640625]","[6381.15380859375, 5267.4599609375]","[6288.26806640625, 5263.00927734375]","[6480.06103515625, 5266.55859375]","[6286.07373046875, 5263.19287109375]"
"[6094.01318359375, 5274.556640625]","[6381.15380859375, 5267.4599609375]","[6288.26806640625, 5263.00927734375]","[6480.06103515625, 5266.55859375]","[6286.07373046875, 5263.19287109375]"
"[6136.31640625, 5044.33056640625]","[6219.44580078125, 5024.41748046875]","[6302.140625, 5034.31640625]","[6369.0810546875, 5036.5380859375]","[6256.74609375, 5034.900390625]"
"[6142.42431640625, 5132.3212890625]","[6223.3955078125, 5095.97412109375]","[6300.72607421875, 5123.484375]","[nan, nan]","[6222.18212890625, 5117.259765625]"
"[5836.416015625, 5608.8720703125]","[5662.62890625, 5605.33544921875]","[5279.90087890625, 5414.720703125]","[5913.89794921875, 5576.5126953125]","[5553.50390625, 5551.06103515625]"
"[5907.02099609375, 5274.36669921875]","[6140.9716796875, 5086.10205078125]","[6006.18701171875, 5088.30908203125]","[6120.94970703125, 5301.28076171875]","[6043.7822265625, 5187.5146484375]"
"[6322.76318359375, 4441.45654296875]","[6405.9326171875, 4462.966796875]","[6093.44677734375, 3721.380126953125]","[nan, nan]","[6274.04736328125, 4208.60107421875]"
"[5356.9365234375, 4920.9599609375]","[5341.7998046875, 3191.2646484375]","[5609.45654296875, 4001.474365234375]","[5683.60205078125, 3821.92138671875]","[5547.9150390625, 3711.53076171875]"
"[5942.5654296875, 5704.3427734375]","[5793.28466796875, 6220.2412109375]","[5633.255859375, 6190.154296875]","[nan, nan]","[5789.70166015625, 6038.24609375]"
"[6646.65625, 5818.6591796875]","[6680.34765625, 2621.22509765625]","[6629.0361328125, 4246.3369140625]","[6051.0146484375, 3322.166015625]","[6375.5546875, 2938.410400390625]"
"[7934.470703125, 4940.38916015625]","[7360.45556640625, 2383.1416015625]","[6998.61767578125, 3121.59521484375]","[6917.9267578125, 3361.43115234375]","[7371.6962890625, 2526.965087890625]"
"[6094.01318359375, 5274.556640625]","[6381.15380859375, 5267.4599609375]","[6288.26806640625, 5263.00927734375]","[6480.06103515625, 5266.55859375]","[6286.07373046875, 5263.19287109375]"
"[6136.31640625, 5044.33056640625]","[6219.44580078125, 5024.41748046875]","[6302.140625, 5034.31640625]","[6369.0810546875, 5036.5380859375]","[6256.74609375, 5034.900390625]"
"[6142.42431640625, 5132.3212890625]","[6223.3955078125, 5095.97412109375]","[6300.72607421875, 5123.484375]","[nan, nan]","[6222.18212890625, 5117.259765625]"
"[5836.416015625, 5608.8720703125]","[5662.62890625, 5605.33544921875]","[5279.90087890625, 5414.720703125]","[5913.89794921875, 5576.5126953125]","[5553.50390625, 5551.06103515625]"
"[5907.02099609375, 5274.36669921875]","[6140.9716796875, 5086.10205078125]","[6006.18701171875, 5088.30908203125]","[6120.94970703125, 5301.28076171875]","[6043.7822265625, 5187.5146484375]"
"[6322.76318359375, 4441.45654296875]","[6405.9326171875, 4462.966796875]","[6093.44677734375, 3721.380126953125]","[nan, nan]","[6274.04736328125, 4208.60107421875]"
"[5356.9365234375, 4920.9599609375]","[5341.7998046875, 3191.2646484375]","[5609.45654296875, 4001.474365234375]","[5683.60205078125, 3821.92138671875]","[5547.9150390625, 3711.53076171875]"
"[5942.5654296875, 5704.3427734375]","[5793.28466796875, 6220.2412109375]","[5633.255859375, 6190.154296875]","[nan, nan]","[5789.70166015625, 6038.24609375]"
"[6646.65625, 5818.6591796875]","[6680.34765625, 2621.22509765625]","[6629.0361328125, 4246.3369140625]","[6051.0146484375, 3322.166015625]","[6375.5546875, 2938.410400390625]"
"[7934.470703125, 4940.38916015625]","[7360.45556640625, 2383.1416015625]","[6998.61767578125, 3121.59521484375]","[6917.9267578125, 3361.43115234375]","[7371.6962890625, 2526.965087890625]"
