Player1,Player2,Player3,Player4,Barycenter
"[7323.0400390625, 3076.07470703125]","[8145.99169921875, 3383.286376953125]","[8258.4736328125, 2889.615234375]","[nan, nan]","[7909.16796875, 3116.325439453125]"
"[7495.185546875, 5446.45703125]","[7925.56787109375, 3519.3916015625]","[7593.015625, 2308.886474609375]","[6953.0576171875, 3346.643798828125]","[7491.70703125, 3655.3447265625]"
"[5614.02734375, 5067.7373046875]","[6366.72705078125, 2344.292236328125]","[5334.67431640625, 1653.6754150390625]","[6267.26025390625, 3753.153076171875]","[5690.72314453125, 3183.1328125]"
"[6757.5263671875, 6049.07177734375]","[6414.90771484375, 6097.59814453125]","[7385.69970703125, 5557.62646484375]","[7333.83251953125, 5279.92578125]","[6914.01611328125, 4587.99072265625]"
"[6233.96533203125, 3738.84765625]","[6385.95556640625, 1957.8740234375]","[6105.849609375, 1253.99365234375]","[5962.70654296875, 1549.087646484375]","[5773.4931640625, 1691.307373046875]"
"[5980.1650390625, 3841.12841796875]","[6218.1162109375, 3905.62451171875]","[5578.94482421875, 5097.85107421875]","[6370.24072265625, 2790.603515625]","[6022.90380859375, 3386.216796875]"
"[9374.0283203125, 5679.7841796875]","[8446.314453125, 5198.29052734375]","[8923.150390625, 3593.720703125]","[8541.953125, 1478.6317138671875]","[8821.361328125, 3987.606689453125]"
"[8967.943359375, 3045.582763671875]","[7726.84912109375, 5148.14990234375]","[8022.18359375, 1394.84375]","[8456.486328125, 1538.527099609375]","[8293.365234375, 2781.77587890625]"
"[7086.18359375, 4305.80322265625]","[5930.4775390625, 4290.33642578125]","[6593.12939453125, 3270.7001953125]","[5968.32373046875, 3132.402099609375]","[6144.927734375, 3331.8046875]"
"[6247.60400390625, 4317.15380859375]","[6328.32861328125, 6334.345703125]","[7317.01513671875, 3097.469482421875]","[6260.7412109375, 1969.0244140625]","[6483.0966796875, 3090.292236328125]"
"[7691.07470703125, 5147.0556640625]","[7911.62548828125, 3745.095703125]","[7599.849609375, 1834.3326416015625]","[nan, nan]","[7734.18359375, 3575.494873046875]"
"[5351.08154296875, 5027.755859375]","[5185.81591796875, 1787.8958740234375]","[6115.18603515625, 3319.130859375]","[5646.9921875, 3392.810546875]","[5433.53173828125, 3261.97509765625]"
"[5879.02685546875, 4930.1953125]","[5290.13037109375, 6154.10888671875]","[6889.52490234375, 3845.577880859375]","[5736.205078125, 3702.19775390625]","[6092.25, 4145.45068359375]"
"[9483.67578125, 4628.41259765625]","[8461.4599609375, 2797.08349609375]","[9174.0595703125, 5617.39697265625]","[8526.5625, 4678.73193359375]","[8803.2421875, 4384.42626953125]"
"[6812.55712890625, 5577.76416015625]","[7385.68603515625, 4032.455810546875]","[6988.416015625, 2475.149658203125]","[nan, nan]","[7062.22021484375, 4028.456298828125]"
"[5983.69921875, 4655.6708984375]","[4578.06884765625, 5040.8876953125]","[5046.78173828125, 2963.270751953125]","[nan, nan]","[5202.849609375, 4219.94287109375]"
"[4435.59912109375, 5009.78759765625]","[5261.11767578125, 4091.481201171875]","[5631.72119140625, 4626.11328125]","[5592.73681640625, 3332.324462890625]","[5258.8408203125, 3536.041259765625]"
"[7321.36669921875, 5753.11572265625]","[8148.17333984375, 3206.694580078125]","[7548.27880859375, 1895.460205078125]","[nan, nan]","[7672.60595703125, 3618.423583984375]"
"[6414.009765625, 4049.86865234375]","[6247.48046875, 1647.855224609375]","[6710.36865234375, 2830.561279296875]","[5905.85888671875, 3812.79541015625]","[5890.0712890625, 2954.926025390625]"
"[4748.306640625, 3964.049072265625]","[nan, nan]","[nan, nan]","[nan, nan]","[4748.306640625, 3964.049072265625]"
