Player1,Player2,Player3,Player4,Barycenter
"[3907.426025390625, 5350.80712890625]","[3599.43701171875, 3905.346923828125]","[3761.42529296875, 2805.99951171875]","[3819.018798828125, 1636.9649658203125]","[4099.203125, 3270.091796875]"
"[4005.5322265625, 3523.55322265625]","[4146.6064453125, 5827.74853515625]","[5051.74609375, 4174.0703125]","[4067.329833984375, 4349.171875]","[4407.20458984375, 3616.94775390625]"
"[2211.318603515625, 5652.5546875]","[1527.1593017578125, 3266.531005859375]","[2338.75244140625, 3327.021484375]","[2040.7010498046875, 2329.946044921875]","[1980.54638671875, 3980.188720703125]"
"[4059.44482421875, 6330.65966796875]","[4379.32275390625, 4655.4228515625]","[3359.7138671875, 6683.7080078125]","[2874.25, 4300.52490234375]","[3663.725830078125, 4973.2412109375]"
"[3042.665283203125, 3395.43896484375]","[2557.282470703125, 1630.517578125]","[3445.521728515625, 755.3858032226562]","[2924.478759765625, 1256.7724609375]","[2894.25830078125, 1511.1243896484375]"
"[2519.93212890625, 4696.96337890625]","[1288.9964599609375, 2006.6002197265625]","[2803.665283203125, 2802.05517578125]","[2301.533935546875, 1101.7578125]","[2228.531982421875, 2651.84423828125]"
"[6038.07666015625, 6443.8349609375]","[5751.9208984375, 6208.37451171875]","[5398.44873046875, 1440.1182861328125]","[6093.93505859375, 4267.099609375]","[5622.34375, 3994.3466796875]"
"[5552.24658203125, 3905.78564453125]","[5109.72021484375, 4480.634765625]","[5856.74755859375, 3574.171142578125]","[5267.31884765625, 1272.4639892578125]","[5358.54833984375, 2441.1064453125]"
"[3897.608154296875, 5100.26025390625]","[3332.387451171875, 2458.767578125]","[3820.310791015625, 2728.473388671875]","[3976.743408203125, 2301.48876953125]","[3806.04736328125, 2639.568115234375]"
"[4304.39306640625, 3209.690673828125]","[4183.947265625, 970.3905639648438]","[4535.896484375, 5483.69873046875]","[4414.681640625, 1660.8353271484375]","[4389.7197265625, 3071.697509765625]"
"[5656.5810546875, 6555.775390625]","[4990.6357421875, 6063.69091796875]","[4740.21142578125, 4964.7744140625]","[5334.63525390625, 2714.542236328125]","[4924.3876953125, 3567.6259765625]"
"[1822.02099609375, 3265.96142578125]","[2450.67529296875, 5079.1044921875]","[2805.941162109375, 3378.2880859375]","[2047.58740234375, 4301.78466796875]","[2178.88427734375, 3208.92919921875]"
"[2730.352783203125, 4759.19287109375]","[2079.50146484375, 3434.889892578125]","[2251.384521484375, 3492.391357421875]","[2201.51904296875, 2583.8828125]","[2434.61376953125, 3199.966552734375]"
"[5849.98046875, 4024.755615234375]","[5987.84716796875, 3353.45166015625]","[6800.57568359375, 4900.6171875]","[6206.36328125, 4398.4326171875]","[6317.82275390625, 4282.51953125]"
"[4305.08935546875, 4090.630126953125]","[5032.14111328125, 6049.77001953125]","[4763.57958984375, 4424.1474609375]","[4461.83056640625, 3984.69873046875]","[4648.24951171875, 3813.85400390625]"
"[2303.2265625, 4965.04736328125]","[2393.71484375, 5718.0693359375]","[2321.434326171875, 4493.56982421875]","[2095.202392578125, 3152.010986328125]","[2293.0009765625, 3910.84814453125]"
"[2035.9276123046875, 5428.71826171875]","[2209.538330078125, 3608.009033203125]","[1331.044677734375, 2234.940673828125]","[670.809326171875, 4027.463623046875]","[1561.830078125, 3824.782958984375]"
"[5230.28466796875, 5051.091796875]","[5574.28955078125, 2916.213623046875]","[5657.3125, 4396.8505859375]","[5433.19873046875, 3590.099365234375]","[5243.61083984375, 3245.471923828125]"
"[3101.288330078125, 3839.0703125]","[3332.5625, 2054.98876953125]","[3299.00439453125, 3358.224853515625]","[3467.550048828125, 854.2357177734375]","[3300.101318359375, 2526.6298828125]"
"[3255.27880859375, 1601.2593994140625]","[nan, nan]","[nan, nan]","[nan, nan]","[3255.27880859375, 1601.2593994140625]"
